seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	45241539	45241573	35	*	X0100	94161	45242164	45242261	98	+	590	upstream	590	SNORD46
chr1	45241539	45241573	35	*	X0100	94162	45243514	45243584	71	+	1940	upstream	1940	SNORD38A
chr1	45805854	45805881	28	*	X0101	4595	45794914	45806142	11229	-	0	inside	260	MUTYH
chr1	46049757	46049960	204	*	X0102	4678	46049660	46084578	34919	+	0	inside	96	NASP
chr1	46152131	46152166	36	*	X0104	51249	46153847	46160108	6262	+	1680	upstream	1680	TMEM69
chr1	46152131	46152166	36	*	X0104	60313	46092976	46152302	59327	-	0	inside	135	GPBP1L1
chr1	47799328	47799369	42	*	X0106	51727	47799469	47844511	45043	+	99	upstream	99	CMPK1
chr1	52520759	52520778	20	*	X0108	91408	52521857	52556388	34532	+	1078	upstream	1078	BTF3L4
chr1	52831670	52831759	90	*	X0109	200014	52816265	52831877	15613	-	0	inside	117	CC2D1B
chr1	53685987	53686268	282	*	X0110	54987	53679772	53686289	6518	-	0	inside	20	CZIB
chr1	53686401	53686466	66	*	X0111	54987	53679772	53686289	6518	-	111	upstream	111	CZIB
chr1	55680953	55681016	64	*	X0115	100507634	55681081	55683128	2048	+	64	upstream	64	LOC100507634
chr1	55680953	55681016	64	*	X0115	23358	55532032	55681039	149008	-	0	inside	22	USP24
chr1	59249377	59249483	107	*	X0116	100131060	59250823	59365384	114562	+	1339	upstream	1339	LINC01135
chr1	59762778	59762800	23	*	X0118	55277	59762625	60228402	465778	+	0	inside	152	FGGY
chr1	62901797	62901862	66	*	X0119	7398	62901975	62917475	15501	+	112	upstream	112	USP1
chr1	63249673	63249687	15	*	X0121	84938	63249777	63330941	81165	+	89	upstream	89	ATG4C
chr1	68151125	68151230	106	*	X0124	1647	68150860	68154021	3162	+	0	inside	264	GADD45A
chr1	68297989	68298064	76	*	X0125	100289178	68297971	68668670	370700	+	0	inside	17	GNG12-AS1
chr1	68962659	68962695	37	*	X0128	55635	68939835	68962799	22965	-	0	inside	103	DEPDC1
chr1	70820219	70820340	122	*	X0130	11147	70820493	70833705	13213	+	152	upstream	152	HHLA3
chr1	70820219	70820340	122	*	X0130	81573	70724685	70820417	95733	-	0	inside	76	ANKRD13C
chr1	70877038	70877043	6	*	X0131	1491	70876901	70905534	28634	+	0	inside	136	CTH
chr1	72749178	72749359	182	*	X0132	257194	71868625	72748405	879781	-	772	upstream	772	NEGR1
chr1	84543395	84543522	128	*	X0134	5567	84543745	84704181	160437	+	222	upstream	222	PRKACB
chr1	89458889	89458931	43	*	X0136	494115	89445139	89458643	13505	-	245	upstream	245	RBMXL1
chr1	89458889	89458931	43	*	X0136	56267	89401456	89458643	57188	-	245	upstream	245	KYAT3
chr1	90286330	90286345	16	*	X0137	55144	90286573	90401989	115417	+	227	upstream	227	LRRC8D
chr1	92764207	92764225	19	*	X0138	79871	92764522	92853732	89211	+	296	upstream	296	RPAP2
chr1	93544913	93544986	74	*	X0139	22823	93544792	93604638	59847	+	0	inside	120	MTF2
chr1	93913716	93913812	97	*	X0140	54874	93913688	94020218	106531	+	0	inside	27	FNBP1L
chr1	95538284	95538298	15	*	X0141	199857	95448279	95538507	90229	-	0	inside	208	ALG14
chr1	95538335	95538471	137	*	X0142	199857	95448279	95538507	90229	-	0	inside	35	ALG14
chr1	100315708	100315876	169	*	X0143	178	100315640	100389579	73940	+	0	inside	67	AGL
chr1	108742727	108742763	37	*	X0145	29957	108677344	108742980	65637	-	0	inside	216	SLC25A24
chr1	110950088	110950356	269	*	X0149	101410535	110950431	110958896	8466	+	74	upstream	74	LAMTOR5-AS1
chr1	110950088	110950356	269	*	X0149	10542	110943877	110950546	6670	-	0	inside	189	LAMTOR5
chr1	111506412	111506432	21	*	X0150	55791	111489812	111506566	16755	-	0	inside	133	LRIF1
chr1	113498606	113498787	182	*	X0151	6566	113454470	113498975	44506	-	0	inside	187	SLC16A1
chr1	113499065	113499122	58	*	X0152	6566	113454470	113498975	44506	-	89	upstream	89	SLC16A1
chr1	115300517	115300565	49	*	X0154	7812	115259534	115300671	41138	-	0	inside	105	CSDE1
chr1	116961085	116961158	74	*	X0155	84852	116935487	116961244	25758	-	0	inside	85	ATP1A1-AS1
chr1	117909282	117909341	60	*	X0156	10905	117910085	118068320	158236	+	743	upstream	743	MAN1A2
chr1	145040272	145040297	26	*	X0162	653513	144676437	145039992	363556	-	279	upstream	279	LOC653513
chr1	147806917	147806957	41	*	X0166	100847044	147806603	147806678	76	-	238	upstream	238	MIR5087
chr1	150039448	150039693	246	*	X0168	11311	150039342	150117505	78164	+	0	inside	105	VPS45
chr1	150294065	150294131	67	*	X0169	9129	150293928	150325704	31777	+	0	inside	136	PRPF3
chr1	151031916	151032000	85	*	X0170	10962	151032151	151040973	8823	+	150	upstream	150	MLLT11
chr1	151031916	151032000	85	*	X0170	56882	151023447	151032125	8679	-	0	inside	124	CDC42SE1
chr1	151043024	151043157	134	*	X0171	126626	151043080	151091007	47928	+	0	overlapStart	0	GABPB2
chr1	151882301	151882376	76	*	X0173	117145	151843343	151882361	39019	-	0	overlapStart	0	THEM4
chr1	153508688	153508803	116	*	X0174	6277	153507076	153508717	1642	-	0	overlapStart	0	S100A6
chr1	153508870	153508880	11	*	X0175	6277	153507076	153508717	1642	-	152	upstream	152	S100A6
chr1	153606579	153606675	97	*	X0177	26097	153606458	153618782	12325	+	0	inside	120	CHTOP
chr1	153606579	153606675	97	*	X0177	6284	153591276	153606568	15293	-	10	upstream	10	S100A13
chr1	154600206	154600219	14	*	X0178	103	154554534	154600456	45923	-	0	inside	236	ADAR
chr1	154909230	154909340	111	*	X0180	10654	154897208	154909484	12277	-	0	inside	143	PMVK
chr1	154934316	154934450	135	*	X0181	90780	154929502	154934258	4757	-	57	upstream	57	PYGO2
chr1	155108447	155108473	27	*	X0183	55974	155108288	155111334	3047	+	0	inside	158	SLC50A1
chr1	155658189	155658204	16	*	X0186	7818	155658882	155708800	49919	+	677	upstream	677	DAP3
chr1	155658320	155658485	166	*	X0187	7818	155658882	155708800	49919	+	396	upstream	396	DAP3
chr1	155904039	155904129	91	*	X0189	22889	155882836	155904188	21353	-	0	inside	58	KHDC4
chr1	156676593	156676602	10	*	X0197	1382	156669400	156675608	6209	-	984	upstream	984	CRABP2
chr1	160313313	160313327	15	*	X0204	1314	160258377	160313354	54978	-	0	inside	26	COPA
chr1	160313313	160313327	15	*	X0204	23385	160313063	160328742	15680	+	0	inside	249	NCSTN
chr1	161123655	161123663	9	*	X0205	51506	161123534	161128646	5113	+	0	inside	120	UFC1
chr1	161123779	161123965	187	*	X0206	51506	161123534	161128646	5113	+	0	inside	244	UFC1
chr1	161719633	161719722	90	*	X0208	11266	161719581	161726952	7372	+	0	inside	51	DUSP12
chr1	169863190	169863247	58	*	X0213	57147	169822215	169863100	40886	-	89	upstream	89	SCYL3
chr1	171454753	171454803	51	*	X0214	23215	171454666	171562650	107985	+	0	inside	86	PRRC2C
chr1	171711347	171711472	126	*	X0215	8674	171669296	171711379	42084	-	0	overlapStart	0	VAMP4
chr1	173446007	173446026	20	*	X0216	100506023	173204199	173446294	242096	-	0	inside	267	LOC100506023
chr1	173446007	173446026	20	*	X0216	9588	173446486	173457946	11461	+	459	upstream	459	PRDX6
chr1	173446074	173446082	9	*	X0217	100506023	173204199	173446294	242096	-	0	inside	211	LOC100506023
chr1	173446074	173446082	9	*	X0217	9588	173446486	173457946	11461	+	403	upstream	403	PRDX6
chr1	173446741	173446899	159	*	X0218	100506023	173204199	173446294	242096	-	446	upstream	446	LOC100506023
chr1	173446741	173446899	159	*	X0218	9588	173446486	173457946	11461	+	0	inside	254	PRDX6
chr1	173837004	173837059	56	*	X0219	26806	173835106	173835166	61	-	1837	upstream	1837	SNORD44
chr1	173837004	173837059	56	*	X0219	60674	173833039	173837125	4087	-	0	inside	65	GAS5
chr1	173837004	173837059	56	*	X0219	619498	173836812	173836883	72	-	120	upstream	120	SNORD74
chr1	173837004	173837059	56	*	X0219	692195	173836017	173836076	60	-	927	upstream	927	SNORD75
chr1	173837004	173837059	56	*	X0219	692196	173835773	173835853	81	-	1150	upstream	1150	SNORD76
chr1	173837004	173837059	56	*	X0219	692197	173835449	173835509	61	-	1494	upstream	1494	SNORD77
chr1	173837004	173837059	56	*	X0219	84614	173837220	173855774	18555	+	160	upstream	160	ZBTB37
chr1	174968639	174968764	126	*	X0220	27101	174968571	174981163	12593	+	0	inside	67	CACYBP
chr1	176176294	176176324	31	*	X0223	64326	175913967	176176370	262404	-	0	inside	45	COP1
chr1	176176480	176176608	129	*	X0224	64326	175913967	176176370	262404	-	109	upstream	109	COP1
chr1	178063788	178063801	14	*	X0225	100302401	178060643	178063128	2486	-	659	upstream	659	RASAL2-AS1
chr1	180471413	180471750	338	*	X0228	84320	180257352	180472022	214671	-	0	inside	271	ACBD6
chr1	180991740	180991775	36	*	X0229	10228	180942176	180992046	49871	-	0	inside	270	STX6
chr1	182808494	182808666	173	*	X0232	1660	182808439	182857117	48679	+	0	inside	54	DHX9
chr1	193091092	193091143	52	*	X0233	79577	193091088	193223942	132855	+	0	inside	3	CDC73
chr1	193091155	193091225	71	*	X0234	79577	193091088	193223942	132855	+	0	inside	66	CDC73
chr1	200638728	200638979	252	*	X0235	83479	200610119	200639126	29008	-	0	inside	146	DDX59
chr1	201798397	201798511	115	*	X0238	55705	201798288	201853422	55135	+	0	inside	108	IPO9
chr1	202858117	202858136	20	*	X0241	5877	202847410	202858385	10976	-	0	inside	248	RABIF
chr1	203830765	203830949	185	*	X0242	6635	203830727	203840280	9554	+	0	inside	37	SNRPE
chr1	204380562	204380900	339	*	X0245	84919	204372492	204380944	8453	-	0	inside	43	PPP1R15B
chr1	207097236	207097308	73	*	X0249	9214	207076631	207095378	18748	-	1857	upstream	1857	FCMR
chr1	207495059	207495238	180	*	X0252	1604	207494817	207534311	39495	+	0	inside	241	CD55
chr1	211432215	211432309	95	*	X0254	55758	211432708	211489725	57018	+	398	upstream	398	RCOR3
chr1	211751765	211751814	50	*	X0255	7779	211748381	211752099	3719	-	0	inside	284	SLC30A1
chr1	212588037	212588154	118	*	X0256	55248	212537816	212588267	50452	-	0	inside	112	PACC1
chr1	214454200	214454310	111	*	X0258	56950	214454565	214510477	55913	+	254	upstream	254	SMYD2
chr1	218458334	218458356	23	*	X0260	51018	218458629	218511325	52697	+	272	upstream	272	RRP15
chr1	218458769	218458823	55	*	X0261	51018	218458629	218511325	52697	+	0	inside	139	RRP15
chr1	222885937	222885943	7	*	X0262	148362	222885906	222906106	20201	+	0	inside	30	BROX
chr1	224033919	224033967	49	*	X0263	7159	223967595	224033674	66080	-	244	upstream	244	TP53BP2
chr1	224301939	224302076	138	*	X0265	23219	224301789	224349749	47961	+	0	inside	149	FBXO28
chr1	224621837	224622048	212	*	X0267	80232	224572845	224622001	49157	-	0	overlapStart	0	WDR26
chr1	224622747	224622862	116	*	X0268	80232	224572845	224622001	49157	-	745	upstream	745	WDR26
chr1	225998089	225998182	94	*	X0270	2052	225997797	226033262	35466	+	0	inside	291	EPHX1
chr1	226250558	226250785	228	*	X0271	3020	226250408	226259703	9296	+	0	inside	149	H3-3A
chr1	226250558	226250785	228	*	X0271	440926	226251678	226259703	8026	+	892	upstream	892	H3P6
chr1	228353489	228353650	162	*	X0272	200205	228353429	228369958	16530	+	0	inside	59	IBA57
chr1	228674298	228674314	17	*	X0276	149603	228675068	228683889	8822	+	753	upstream	753	RNF187
chr1	228674391	228674413	23	*	X0277	149603	228675068	228683889	8822	+	654	upstream	654	RNF187
chr1	228674427	228674437	11	*	X0278	149603	228675068	228683889	8822	+	630	upstream	630	RNF187
chr1	230778329	230778426	98	*	X0279	22796	230778202	230829731	51530	+	0	inside	126	COG2
chr1	231376742	231376838	97	*	X0280	128061	231359509	231376924	17416	-	0	inside	85	C1orf131
chr1	231376742	231376838	97	*	X0280	8443	231376919	231413719	36801	+	80	upstream	80	GNPAT
chr1	234746088	234746163	76	*	X0283	359948	234740015	234745271	5257	-	816	upstream	816	IRF2BP2
chr1	241803425	241803446	22	*	X0285	23596	241756452	241803701	47250	-	0	inside	254	OPN3
chr1	244998072	244998154	83	*	X0286	116228	244998639	245008359	9721	+	484	upstream	484	COX20
chr1	244998181	244998209	29	*	X0287	116228	244998639	245008359	9721	+	429	upstream	429	COX20
chr1	244998249	244998440	192	*	X0288	116228	244998639	245008359	9721	+	198	upstream	198	COX20
chr1	249132644	249132838	195	*	X0295	79894	249132530	249143714	11185	+	0	inside	113	ZNF672
chr1	249200475	249200678	204	*	X0296	267002	249200442	249213345	12904	+	0	inside	32	PGBD2
chr2	264992	265014	23	*	X0297	26751	218136	264810	46675	-	181	upstream	181	SH3YL1
chr2	264992	265014	23	*	X0297	52	264869	278282	13414	+	0	inside	122	ACP1
chr2	265032	265056	25	*	X0298	26751	218136	264810	46675	-	221	upstream	221	SH3YL1
chr2	265032	265056	25	*	X0298	52	264869	278282	13414	+	0	inside	162	ACP1
chr2	10262901	10262968	68	*	X0303	6241	10262695	10271546	8852	+	0	inside	205	RRM2
chr2	16080975	16081056	82	*	X0308	4613	16080683	16087129	6447	+	0	inside	291	MYCN
chr2	20101584	20101787	204	*	X0309	130502	20096514	20101744	5231	-	0	overlapStart	0	TTC32
chr2	20101857	20101927	71	*	X0310	130502	20096514	20101744	5231	-	112	upstream	112	TTC32
chr2	24149760	24149891	132	*	X0311	165324	24150155	24223693	73539	+	263	upstream	263	UBXN2A
chr2	24149760	24149891	132	*	X0311	54454	23971534	24149936	178403	-	0	inside	44	ATAD2B
chr2	25015771	25015781	11	*	X0312	79172	25016175	25045245	29071	+	393	upstream	393	CENPO
chr2	25015829	25015839	11	*	X0313	79172	25016175	25045245	29071	+	335	upstream	335	CENPO
chr2	27341959	27342250	292	*	X0315	10669	27322221	27341995	19775	-	0	overlapStart	0	CGREF1
chr2	27435304	27435400	97	*	X0316	8884	27422455	27435175	12721	-	128	upstream	128	SLC5A6
chr2	27580065	27580078	14	*	X0317	2976	27548716	27579901	31186	-	163	upstream	163	GTF3C2
chr2	27593075	27593078	4	*	X0318	8890	27587219	27593324	6106	-	0	inside	245	EIF2B4
chr2	27593075	27593078	4	*	X0318	9784	27593363	27600400	7038	+	284	upstream	284	SNX17
chr2	28974307	28974396	90	*	X0319	5500	28974612	29025806	51195	+	215	upstream	215	PPP1CB
chr2	28974438	28974463	26	*	X0320	5500	28974612	29025806	51195	+	148	upstream	148	PPP1CB
chr2	29117589	29117798	210	*	X0321	23160	29117533	29171080	53548	+	0	inside	55	WDR43
chr2	32265019	32265087	69	*	X0325	51072	32092894	32264862	171969	-	156	upstream	156	MEMO1
chr2	32265019	32265087	69	*	X0325	84661	32248972	32264862	15891	-	156	upstream	156	DPY30
chr2	36584229	36584246	18	*	X0327	100288911	36581892	36582713	822	-	1515	upstream	1515	CRIM1-DT
chr2	38152752	38152825	74	*	X0328	151393	38152462	38294285	141824	+	0	inside	289	RMDN2
chr2	38978190	38978455	266	*	X0329	6432	38970741	38978636	7896	-	0	inside	180	SRSF7
chr2	38978190	38978455	266	*	X0329	79833	38978676	39009106	30431	+	220	upstream	220	GEMIN6
chr2	40006195	40006334	140	*	X0331	80745	39963200	40006416	43217	-	0	inside	81	THUMPD2
chr2	43452356	43452447	92	*	X0332	100129726	43454350	43455994	1645	+	1902	upstream	1902	LINC01126
chr2	44223038	44223076	39	*	X0333	10128	44113363	44223144	109782	-	0	inside	67	LRPPRC
chr2	47403440	47403574	135	*	X0334	285051	47293080	47403740	110661	-	0	inside	165	STPG4
chr2	47403440	47403574	135	*	X0334	805	47387221	47403740	16520	-	0	inside	165	CALM2
chr2	47404094	47404101	8	*	X0335	285051	47293080	47403740	110661	-	353	upstream	353	STPG4
chr2	47404094	47404101	8	*	X0335	805	47387221	47403740	16520	-	353	upstream	353	CALM2
chr2	48010345	48010377	33	*	X0336	2956	48010221	48034092	23872	+	0	inside	123	MSH6
chr2	55459889	55459932	44	*	X0340	130162	55399687	55459699	60013	-	189	upstream	189	CLHC1
chr2	61244406	61244527	122	*	X0343	5194	61244697	61279125	34429	+	169	upstream	169	PEX13
chr2	61244706	61244774	69	*	X0344	5194	61244697	61279125	34429	+	0	inside	8	PEX13
chr2	61698522	61698576	55	*	X0345	9736	61414590	61697849	283260	-	672	upstream	672	USP34
chr2	63816179	63816255	77	*	X0346	51057	63348535	63815867	467333	-	311	upstream	311	WDPCP
chr2	70314228	70314366	139	*	X0347	400960	70189395	70314147	124753	-	80	upstream	80	PCBP1-AS1
chr2	70314228	70314366	139	*	X0347	5093	70314585	70316334	1750	+	218	upstream	218	PCBP1
chr2	70314492	70314502	11	*	X0348	400960	70189395	70314147	124753	-	344	upstream	344	PCBP1-AS1
chr2	70314492	70314502	11	*	X0348	5093	70314585	70316334	1750	+	82	upstream	82	PCBP1
chr2	70475965	70476078	114	*	X0350	7072	70436576	70475779	39204	-	185	upstream	185	TIA1
chr2	74425779	74425865	87	*	X0352	10797	74425690	74442424	16735	+	0	inside	88	MTHFD2
chr2	74681892	74681963	72	*	X0354	100532735	74682150	74688018	5869	+	186	upstream	186	INO80B-WBP1
chr2	74681892	74681963	72	*	X0354	83444	74682150	74685087	2938	+	186	upstream	186	INO80B
chr2	74699670	74699734	65	*	X0356	116540	74699085	74699942	858	-	0	inside	207	MRPL53
chr2	74710014	74710062	49	*	X0357	64427	74710200	74721691	11492	+	137	upstream	137	TTC31
chr2	74710014	74710062	49	*	X0357	84865	74699085	74710357	11273	-	0	inside	294	CCDC142
chr2	75185847	75185992	146	*	X0358	56655	75185775	75196859	11085	+	0	inside	71	POLE4
chr2	85133012	85133087	76	*	X0360	9168	85132763	85133799	1037	+	0	inside	248	TMSB10
chr2	85581538	85581578	41	*	X0361	54884	85569078	85581821	12744	-	0	inside	242	RETSAT
chr2	85581538	85581578	41	*	X0361	84173	85581843	85618875	37033	+	264	upstream	264	ELMOD3
chr2	85766322	85766571	250	*	X0362	100630918	85764590	85766009	1420	-	312	upstream	312	PARTICL
chr2	85766322	85766571	250	*	X0362	4144	85766101	85772403	6303	+	0	inside	220	MAT2A
chr2	85766714	85766824	111	*	X0363	100630918	85764590	85766009	1420	-	704	upstream	704	PARTICL
chr2	85766969	85767003	35	*	X0364	100630918	85764590	85766009	1420	-	959	upstream	959	PARTICL
chr2	95787513	95787706	194	*	X0369	64969	95752952	95787754	34803	-	0	inside	47	MRPS5
chr2	96874467	96874524	58	*	X0371	56910	96850603	96874573	23971	-	0	inside	48	STARD7
chr2	96971149	96971201	53	*	X0372	23020	96940074	96971307	31234	-	0	inside	105	SNRNP200
chr2	97304241	97304282	42	*	X0373	55683	97258892	97304116	45225	-	124	upstream	124	KANSL3
chr2	99771553	99771675	123	*	X0375	51601	99771418	99779613	8196	+	0	inside	134	LIPT1
chr2	99771553	99771675	123	*	X0375	80705	99613724	99771187	157464	-	365	upstream	365	TSGA10
chr2	100939189	100939210	22	*	X0376	164832	100889753	100939195	49443	-	0	overlapStart	0	LONRF2
chr2	101924982	101925099	118	*	X0377	100847007	101925912	101925996	85	+	812	upstream	812	MIR5696
chr2	101924982	101925099	118	*	X0377	284996	101887684	101925178	37495	-	0	inside	78	RNF149
chr2	109335814	109335817	4	*	X0380	5903	109335937	109402267	66331	+	119	upstream	119	RANBP2
chr2	112641896	112641938	43	*	X0382	64682	112525214	112641741	116528	-	154	upstream	154	ANAPC1
chr2	113032819	113032929	111	*	X0383	376940	113033178	113097640	64463	+	248	upstream	248	ZC3H6
chr2	113033245	113033350	106	*	X0384	376940	113033178	113097640	64463	+	0	inside	66	ZC3H6
chr2	114647256	114647269	14	*	X0386	10096	114647511	114719129	71619	+	241	upstream	241	ACTR3
chr2	118572321	118572418	98	*	X0387	8886	118572255	118589953	17699	+	0	inside	65	DDX18
chr2	120517484	120517625	142	*	X0388	5775	120517207	120742474	225268	+	0	inside	276	PTPN4
chr2	150444114	150444160	47	*	X0397	27249	150426147	150444330	18184	-	0	inside	169	MMADHC
chr2	153574990	153575010	21	*	X0400	55660	153508107	153573975	65869	-	1014	upstream	1014	PRPF40A
chr2	160569066	160569322	257	*	X0401	29994	160175490	160568946	393457	-	119	upstream	119	BAZ2B
chr2	160569066	160569322	257	*	X0401	64844	160569010	160625084	56075	+	0	inside	55	MARCHF7
chr2	160569373	160569387	15	*	X0402	29994	160175490	160568946	393457	-	426	upstream	426	BAZ2B
chr2	169312927	169312960	34	*	X0404	253782	169312759	169631644	318886	+	0	inside	167	CERS6
chr2	169313052	169313121	70	*	X0405	253782	169312759	169631644	318886	+	0	inside	292	CERS6
chr2	172290861	172290926	66	*	X0407	80067	172290727	172341562	50836	+	0	inside	133	DCAF17
chr2	172290963	172291200	238	*	X0408	79828	172173913	172291312	117400	-	0	inside	111	METTL8
chr2	172290963	172291200	238	*	X0408	80067	172290727	172341562	50836	+	0	inside	235	DCAF17
chr2	172864922	172865093	172	*	X0409	254042	172864804	172945587	80784	+	0	inside	117	METAP1D
chr2	172949549	172949595	47	*	X0410	1745	172950208	172954401	4194	+	612	upstream	612	DLX1
chr2	172949655	172949665	11	*	X0411	1745	172950208	172954401	4194	+	542	upstream	542	DLX1
chr2	179315788	179315816	29	*	X0414	494513	179316163	179326110	9948	+	346	upstream	346	PJVK
chr2	179315788	179315816	29	*	X0414	8575	179296141	179315958	19818	-	0	inside	141	PRKRA
chr2	187350689	187350701	13	*	X0416	55854	187350885	187374087	23203	+	183	upstream	183	ZC3H15
chr2	187454527	187454552	26	*	X0417	3685	187454790	187545629	90840	+	237	upstream	237	ITGAV
chr2	187454799	187454802	4	*	X0418	3685	187454790	187545629	90840	+	0	inside	8	ITGAV
chr2	187454860	187454909	50	*	X0419	3685	187454790	187545629	90840	+	0	inside	69	ITGAV
chr2	191514124	191514137	14	*	X0420	4664	191513848	191557492	43645	+	0	inside	275	NAB1
chr2	198364408	198364514	107	*	X0424	100529241	198364721	198418423	53703	+	206	upstream	206	HSPE1-MOB4
chr2	198364408	198364514	107	*	X0424	3336	198364721	198368187	3467	+	206	upstream	206	HSPE1
chr2	198570161	198570296	136	*	X0426	92935	198570028	198573114	3087	+	0	inside	132	MARS2
chr2	200820102	200820150	49	*	X0427	79568	200820040	200828847	8808	+	0	inside	61	MAIP1
chr2	200820583	200820629	47	*	X0428	129450	200793634	200820459	26826	-	123	upstream	123	TYW5
chr2	201729250	201729274	25	*	X0430	1195	201717732	201729467	11736	-	0	inside	192	CLK1
chr2	201753796	201753864	69	*	X0431	53938	201735679	201753849	18171	-	0	overlapStart	0	PPIL3
chr2	201753796	201753864	69	*	X0431	60491	201754050	201768655	14606	+	185	upstream	185	NIF3L1
chr2	201754149	201754224	76	*	X0432	53938	201735679	201753849	18171	-	299	upstream	299	PPIL3
chr2	201754149	201754224	76	*	X0432	60491	201754050	201768655	14606	+	0	inside	98	NIF3L1
chr2	203499955	203499967	13	*	X0434	150864	203499901	203634480	134580	+	0	inside	53	FAM117B
chr2	206950576	206950752	177	*	X0436	54891	206858445	206950906	92462	-	0	inside	153	INO80D
chr2	217363605	217363747	143	*	X0438	6168	217363520	217366188	2669	+	0	inside	84	RPL37A
chr2	220462333	220462381	49	*	X0444	114790	220462596	220481173	18578	+	214	upstream	214	STK11IP
chr2	233251252	233251464	213	*	X0450	347694	233250460	233251754	1295	-	0	inside	289	ECEL1P2
chr2	240323123	240323328	206	*	X0453	9759	239969864	240323346	353483	-	0	inside	17	HDAC4
